name,state,postcode,size_kw,accreditation_date,latitude,longitude,aemo_registered,aemo_duid,aemo_registration_type,url
Ausgrid Silverwater,NSW,2128,245.7,2019-03-06,-31.890931,152.445503,No,,N/A,
Ausperl Solar System,NSW,2211,237.7,2018-09-17,-33.936949,151.033511,No,,N/A,
Austchilli Solar,QLD,4670,198.1,2016-10-31,-24.936324,152.379152,No,,N/A,
Austco Polar,VIC,3026,450.1,2019-06-28,-37.818506,144.816811,No,,N/A,
Australia Post Strawberry Hills,NSW,2016,284.0,2016-02-16,-33.890243,151.205035,No,,N/A,
Australian Antarctic Division HQ Stage 1,TAS,7051,219.0,2015-10-07,-42.98731,147.290876,No,,N/A,
Australian Institute of Marine Science,QLD,4810,1044.3,2019-09-02,-19.267393,147.054704,No,,N/A,
Australian Laboratory Services,QLD,4053,219.0,2020-04-15,-27.410814,153.008021,No,,N/A,
Australian Lamb Colac,VIC,3250,1199.8,2018-05-30,-38.3281181,143.6081526,No,,N/A,
Australian Lamb Company Sunshine,VIC,3020,207.9,2018-05-28,-37.808188,144.8267078,No,,N/A,
Australian Meat Group,VIC,3175,1233.7,2020-03-16,-38.028742,145.202151,No,,N/A,
Australian National Maritime Museum,NSW,2000,235.5,2019-08-02,-33.869351,151.198635,No,,N/A,
Australian Vintage Buronga,NSW,2739,302.1,2016-06-27,-34.1329915,142.1457574,No,,N/A,
Australian Vintage Buronga,NSW,2739,925.6,2018-03-01,-34.1329915,142.1457574,No,,N/A,
Austruss,NSW,2575,150.2,2019-11-04,-34.427867,150.477736,No,,N/A,
NorthamBV,WA,6401,665.2,2017-11-08,-31.652939,116.675479,No,,N/A,
Bunnings Windsor Gardens,VIC,3505,300.5,2018-05-01,-35.006345,138.535631,No,,N/A,
AW Bell Dandenong South Solar,VIC,3175,284.2,2019-03-08,-38.032712,145.229129,No,,N/A,
Rottnest Island Solar Farm,WA,6161,600.0,2011-05-02,-31.998329,115.520527,No,,N/A,
Aveley Secondary College,WA,6069,586.2,2018-11-21,-31.766608,115.987248,No,,N/A,
Todae Solar AZ Macquarie Park,NSW,2113,356.4,2018-01-10,-27.066464,152.967275,No,,N/A,
B J Ball,NSW,2145,124.8,2020-06-17,-33.8184,150.920988,No,,N/A,
BR Enclosures Solar,QLD,4110,770.4,2019-09-16,-27.637883,152.978306,No,,N/A,
BACB1 Brisbane Airport Stage 1,QLD,4008,389.6,2018-12-04,-27.414572,153.080474,No,,N/A,
BACB1 Brisbane Airport Stage 3,QLD,4008,1012.0,2018-12-04,-27.414572,153.080474,No,,N/A,
BACB1 Brisbane Airport Stage 2,QLD,4008,4323.8,2018-12-04,-27.414572,153.080474,No,,N/A,
Coastal Lakes College,WA,6180,491.8,2019-11-13,-32.468092,115.762544,No,,N/A,
Baiada Poultry,SA,5118,817.3,2019-12-02,-34.569376,138.704519,No,,N/A,
Bairnsdale District health Services,VIC,3875,699.8,2020-02-10,-37.831208,147.60779,No,,N/A,
Bakers Maison,NSW,2212,224.6,2017-09-28,-33.936314,151.010056,No,,N/A,
Baking Board Solar Farm,QLD,4413,19924.4,2018-10-03,-26.721439,150.553883,Yes,BAKING1,Non-Scheduled,""
Balgownie Estate,VIC,3775,200.0,2021-02-12,-37.631815,145.400373,No,,N/A,
Ballarat Golf Club,VIC,3350,160.4,2018-10-11,-37.547148,143.801453,No,,N/A,
Ballarat Holden Solar,VIC,3355,140.0,2015-12-23,-37.539124,143.821141,No,,N/A,
Ballarat North Water Reclamation Plant ,VIC,3352,876.4,2020-06-23,-37.514027,143.825795,No,,N/A,
Ballarat Solar Park,VIC,3350,320.0,2009-12-04,-37.51427,143.785028,No,,N/A,http://solardatabase.sunwiz.com.au/project/adelaide-airport-terminal-1-2/
Ballarat South WWTP,VIC,3350,831.6,2020-05-19,-37.594716,143.849821,No,,N/A,
Ballina Waste Water Treatment Plant,NSW,2478,300.0,2016-01-19,-28.839786,153.553376,No,,N/A,
Bankstown District,NSW,2200,539.8,2020-02-19,-33.914948,151.034625,No,,N/A,
Bannerton Solar Park,VIC,3549,110195.1,2018-07-20,-34.617742,142.941131,Yes,BANN1,Semi-Scheduled,
Banyule City Council Greensborough,VIC,3088,192.4,2018-07-20,-37.6939405,145.0945963,No,,N/A,
Barangaroo PV Power Station Stage 2,NSW,2000,110.7,2017-09-01,-33.857301,151.2011,No,,N/A,
Barangaroo PV Power Station Stage 1,NSW,2000,528.8,2016-08-11,-33.857301,151.2011,No,,N/A,
Barcaldine Solar Farm,QLD,4725,25000.0,2017-03-20,-23.55115,145.321151,Yes,BARCSF1,Non-Scheduled,
Barker College,NSW,2077,168.0,2018-06-15,-33.7123824,151.0992862,No,,N/A,
Barker Trailers,VIC,3442,320.2,2019-11-04,-37.325013,144.540201,No,,N/A,
Baroota,SA,5495,8932.0,2020-01-13,-33.019759,137.999353,No,,N/A,
Barwon WaterTorquay solar farm,VIC,3228,262.8,2018-11-23,-38.320848,144.310673,No,,N/A,
Barwon Water Wurdee Boluc water treatment plant,VIC,3241,302.2,2019-11-21,-38.281266,144.054389,No,,N/A,
Basfoods Victoria St Brunswick,VIC,3056,203.0,2019-10-14,-37.765628,144.953228,No,,N/A,
Baxter Healthcare Old Toongabbie,NSW,2146,535.3,2016-06-10,-33.782821,150.971567,No,,N/A,
Baxter Laboratories,VIC,3155,322.0,2019-07-05,-37.838393,145.294261,No,,N/A,
Bay Plaza,QLD,4655,241.9,2020-01-21,-25.284059,152.842608,No,,N/A,
Bayswood Timber Hallam,VIC,3803,150.2,2017-10-23,-38.016124,145.263157,No,,N/A,
Beaconhills College Berwick,VIC,3806,200.2,2017-11-27,-38.04918,145.35714,No,,N/A,
Beaconhills Pakenham Year 9 Centre Solar,VIC,3810,141.0,2019-01-25,-38.061623,145.468374,No,,N/A,
Mundaring Village Shopping Centre,WA,6073,429.9,2019-06-27,-31.901409,116.167124,No,,N/A,
Bendigo Solar Park,VIC,3551,336.0,2009-11-26,-36.660518,144.306406,No,,N/A,
Beryl Solar Farm,NSW,2852,110904.4,2019-04-15,-32.347451,149.460718,Yes,BERYLSF1,Semi-Scheduled,
PLASMO,WA,6090,421.8,2018-06-25,-31.8619356,115.9065887,No,,N/A,
Churchlands Senior High School,WA,6018,410.3,2020-08-25,-31.917556,115.789184,No,,N/A,
GilmacWagin,WA,6315,395.1,2021-04-23,-33.29440253,117.4094975,No,,N/A,
Bianco Construction Supplies,SA,5084,201.6,2016-11-25,-34.84981,138.583727,No,,N/A,
Bianco Precast Solar System,SA,5084,201.6,2016-11-25,-34.847592,138.585712,No,,N/A,
Bickfords AustraliaSalisbury Factory,SA,5106,600.3,2017-12-22,-34.783168,138.639691,No,,N/A,
BIDFOOD CAIRNS,QLD,4868,291.6,2020-09-15,-16.957654,145.753437,No,,N/A,
Bidfood Dandenong South,VIC,3175,212.8,2019-11-02,-38.007949,145.210505,No,,N/A,
BIDFOOD DARWIN,NT,0822,239.0,2020-09-15,-12.462056,130.927393,No,,N/A,
Bidfood Richlands,QLD,4077,210.1,2020-03-17,-27.587004,152.942797,No,,N/A,
Bidfood Truganina,VIC,3029,270.1,2019-11-02,-37.817345,144.746464,No,,N/A,
Agrifresh,WA,6521,392.0,2021-02-25,-30.44751,115.834892,No,,N/A,
Big Top Mt Gravatt Queensland,QLD,4122,256.4,2018-05-30,-27.5310517,153.0731689,No,,N/A,
Bingo Auburn,NSW,2144,261.3,2020-03-03,-33.835714,151.027252,No,,N/A,
Birkdale Fair,QLD,4159,250.0,2020-09-10,-27.491127,153.218296,No,,N/A,
Black Rock Solar Farm,VIC,3227,1009.6,2018-02-23,-38.277145,144.417311,No,,N/A,
Blacktown Hospital,NSW,2148,760.0,2020-12-14,-33.776062,150.917097,No,,N/A,
Blackwoods Carole ,QLD,4300,201.9,2019-02-13,-27.61174,152.92284,No,,N/A,
Blayney Cold Storage,NSW,2799,600.8,2020-02-24,-33.532028,149.269867,No,,N/A,
BLETCHLEY,SA,5255,198.0,2020-09-10,-35.247285,138.989422,No,,N/A,
Blue Wren Yatala,QLD,4207,207.7,2019-09-13,-27.751146,153.217681,No,,N/A,
Bomaderry Bowling,NSW,2541,199.9,2019-10-06,-34.8489,150.611275,No,,N/A,
Bomen Solar Farm,NSW,2650,121539.9,2020-03-16,-35.054318,147.441043,Yes,BOMENSF1,Semi-Scheduled,
Bonaccord Ingram Walpa,VIC,3875,328.0,2020-07-24,-37.786444,147.417184,No,,N/A,
Booth Strathmerton,VIC,3641,391.0,2017-12-30,-35.941662,145.478076,No,,N/A,
Borg Charmhaven,NSW,2263,1303.8,2018-07-24,-33.243044,151.492522,No,,N/A,
Borg Oberon,NSW,2787,1994.0,2020-07-09,-33.691845,149.857931,No,,N/A,
Borg Wella Somersby,NSW,2250,781.3,2018-11-01,-33.419102,151.295765,No,,N/A,
Boronia,NSW,2534,168.9,2020-10-16,-34.748355,150.823812,No,,N/A,
Lake Joondalup Baptist Colleg,WA,6027,374.5,2019-06-11,-31.737183,115.761561,No,,N/A,
Botanicca Building,VIC,3121,150.5,2020-02-20,-37.827517,145.018466,No,,N/A,
Bradford Brendale,QLD,4500,279.0,2019-07-12,-27.327634,152.973874,No,,N/A,
BRC Millbank Solar,QLD,4670,108.4,2018-05-03,-24.8668491,152.3150973,No,,N/A,
Brickworks Marketplace,SA,5031,544.3,2019-12-17,-34.914025,138.564173,No,,N/A,
Bridgewater Solar,VIC,3516,500.0,2013-10-09,-36.614115,143.953042,No,,N/A,
BRIGHT PRINT,NSW,2164,149.1,2021-02-02,-33.84157272,150.9024756,No,,N/A,
Brisbane Convention And Exhibition Centre,QLD,4101,309.4,2020-06-10,-27.476078,153.019523,No,,N/A,
Brisbane International Cruise Terminal,QLD,4008,789.2,2020-08-18,-27.3818,153.154108,No,,N/A,
Brisbane Markets Stage 3,QLD,4106,180.5,2017-06-01,-27.536748,153.002353,No,,N/A,
Brisbane Markets Stage 1,QLD,4106,487.9,2015-09-03,-27.536748,153.002353,No,,N/A,
Brisbane Markets Stage 2,QLD,4106,567.3,2017-04-01,-27.536748,153.002353,No,,N/A,
Brisbane Markets Stage 4,QLD,4106,1543.1,2017-09-01,-27.536748,153.002353,No,,N/A,
Brisbane Markets Stage 5,QLD,4106,2325.4,2019-07-01,-27.536748,153.002353,No,,N/A,
Brisbane Racecourse Village,QLD,4007,351.1,2019-04-30,-27.427186,153.071874,No,,N/A,
Britton Timbers Dry Mill,TAS,7330,154.3,2020-02-26,-40.857188,145.140262,No,,N/A,
Britton Timbers Green Mill,TAS,7330,154.3,2019-12-19,-40.857188,145.140262,No,,N/A,
Broadbeach Library Mermaid Waters ,QLD,4218,192.3,2019-07-26,-28.035748,153.424118,No,,N/A,
Mammoth Cold Store,WA,6057,349.4,2020-08-19,-31.928076,116.010761,No,,N/A,
Broken Hill Solar Plant,NSW,2880,53000.0,2015-07-22,-31.931112,141.525793,Yes,BROKENH1,Semi-Scheduled,
Brooklyn River Pump,VIC,3599,264.0,2020-02-25,-34.737592,143.093399,No,,N/A,
BTP 37 BRANDL Solar,QLD,4113,199.2,2018-09-19,-27.580562,153.09929,No,,N/A,
BTP 7 CluniesEight Mile Plains,QLD,4113,212.2,2019-10-23,-27.57749,153.095534,No,,N/A,
BTP 8 CLUNIES 9 MCKECHNIE,QLD,4113,210.1,2018-09-27,-27.576936,153.095905,No,,N/A,
BTP 88 BRANDL Solar,QLD,4113,196.5,2018-09-20,-27.578948,153.098627,No,,N/A,
BTPS Horsley Park,NSW,2178,1701.9,2020-04-30,-33.830977,150.821,No,,N/A,
Bundaberg Christian College,QLD,4670,193.9,2016-07-04,-24.868838,152.406806,No,,N/A,
Bungala One Solar Farm,SA,5700,137829.6,2018-05-11,-32.4207814,137.7747144,Yes,BNGSF1,Semi-Scheduled,
Bungala Two Solar Farm,SA,5713,137975.4,2018-09-24,-32.415571,137.848148,Yes,BNGSF2,Semi-Scheduled,
Bungama,SA,5540,1887.0,2019-07-01,-33.192705,138.060704,No,,N/A,
Bungama ,SA,5540,3973.8,2020-01-23,-33.199634,138.0645,No,,N/A,
BUPA Traralgon,NSW,2621,200.0,2013-09-13,-35.187479,149.523303,No,,N/A,https://www.energymatters.com.au/renewable-news/em3301/
Bunnings Albury,NSW,2640,293.7,2020-02-07,-36.073719,146.949168,No,,N/A,
Bunnings Alice Springs,NT,0870,475.4,2020-02-10,-23.670072,133.868779,No,,N/A,
Bunnings Arundel,QLD,4214,270.0,2019-10-23,-27.933313,153.378911,No,,N/A,
Meekatharra Solar Power Station Stage 2,WA,6642,344.6,2017-04-06,-26.594917,118.495289,No,,N/A,
Bunnings Batemans Bay,NSW,2536,240.1,2020-02-07,-35.718898,150.174732,No,,N/A,
Bunnings Bathurst,NSW,2795,299.4,2020-02-07,-33.419689,149.603305,No,,N/A,
Bunnings Belconnen,ACT,2617,329.9,2020-08-25,-35.244448,149.063863,No,,N/A,
Bunnings Bellambi,NSW,2517,249.5,2018-02-02,-34.361603,150.908403,No,,N/A,
Bunnings Bendigo,VIC,3555,327.7,2020-11-11,-36.808572,144.243135,No,,N/A,
Bunnings Bethania,QLD,4205,449.9,2020-01-30,-27.703577,153.156837,No,,N/A,
Bunnings Bundamba,QLD,4304,389.6,2020-02-03,-27.609519,152.805428,No,,N/A,
Bunnings Burleigh Waters,QLD,4220,629.2,2019-11-01,-28.100101,153.427093,No,,N/A,
Bunnings Cairns Central,QLD,4870,300.9,2020-02-10,-16.934233,145.773554,No,,N/A,
Bunnings Cannon Hill,QLD,4170,509.6,2020-04-27,-27.473327,153.097313,No,,N/A,
Bunnings Caringbah,NSW,2229,750.1,2019-12-11,-34.027875,151.121802,No,,N/A,
Bunnings Coffs Harbour,NSW,2450,449.4,2020-02-17,-30.313776,153.09497,No,,N/A,
Bunnings Dural,NSW,2158,299.4,2020-02-07,-33.702619,151.028812,No,,N/A,
Bunnings Edwardstown,SA,5039,240.7,2020-02-07,-34.985464,138.573627,No,,N/A,
Bunnings Geelong North,VIC,3214,332.2,2020-02-07,-38.097497,144.353575,No,,N/A,
Bunnings Goulburn,NSW,2580,210.5,2020-02-12,-34.772596,149.688521,No,,N/A,
Bunnings Grafton,NSW,2460,147.0,2020-07-24,-29.705856,152.944166,No,,N/A,
Bunnings Gregory Hills,NSW,2557,299.5,2020-02-10,-34.023558,150.760798,No,,N/A,
Bunnings Gungahlin,ACT,2912,480.2,2020-10-27,-35.183889,149.130071,No,,N/A,
Bunnings Kirrawee,NSW,2232,300.2,2020-02-07,-34.030357,151.075221,No,,N/A,
Bunnings Lake Haven,NSW,2263,380.2,2020-02-10,-33.238851,151.497353,No,,N/A,
Bunnings Manly West,QLD,4179,540.0,2020-01-30,-27.468552,153.153244,No,,N/A,
Bunnings Maroochydore,QLD,4558,574.9,2020-04-27,-26.664498,153.084527,No,,N/A,
Bunnings Mile End,SA,5031,299.9,2020-04-27,-34.933087,138.575511,No,,N/A,
Bunnings Munno Para,SA,5115,240.7,2019-12-10,-34.659477,138.653775,No,,N/A,
Bunnings Nerang,QLD,4211,220.0,2019-11-06,-28.007437,153.339507,No,,N/A,
Bunnings Orange,NSW,2800,299.8,2020-02-07,-33.257458,149.111883,No,,N/A,
Bunnings Oxenford,QLD,4210,510.0,2020-02-10,-27.88754,153.312189,No,,N/A,
Bunnings Port Macquarie,NSW,2444,260.4,2020-03-06,-31.454258,152.872736,No,,N/A,
Bunnings Rockhampton,QLD,4701,299.2,2019-12-10,-23.329409,150.52015,No,,N/A,
Bunnings Smithfield,NSW,2164,299.8,2020-02-07,-33.845943,150.954809,No,,N/A,
Bunnings Southport,QLD,4214,256.3,2020-05-08,-27.972148,153.375701,No,,N/A,
Bunnings Springfield Central,QLD,4300,419.5,2020-02-13,-27.6764,152.898133,No,,N/A,
Bunnings Tamworth,NSW,2340,330.4,2020-02-17,-31.088804,150.907695,No,,N/A,
Bunnings Taree,NSW,2430,209.7,2020-02-17,-31.89148,152.446208,No,,N/A,
Bunnings Toowoomba North,QLD,4350,357.3,2020-02-07,-27.552762,151.95345,No,,N/A,
Bunnings Toowoomba West,QLD,4350,355.6,2020-02-07,-27.586772,151.9154,No,,N/A,
Bunnings Underwood,QLD,4119,474.9,2020-02-07,-27.618862,153.112515,No,,N/A,
Bunnings Victor Harbor,SA,5211,140.7,2020-02-07,-35.535679,138.637464,No,,N/A,
Rockingham Aqua Jetty,WA,6169,333.2,2018-12-03,-32.343531,115.759707,No,,N/A,
Bunnings West Ipswich,QLD,4305,571.5,2020-01-30,-27.616193,152.750099,No,,N/A,
AVL Merbein,SA,5087,300.5,2020-04-27,-34.864256,138.648277,No,,N/A,
Bunnings Wodonga,VIC,3690,199.8,2020-10-29,-36.137058,146.906465,No,,N/A,
Bunurong 260 kW Solar PV Bangholme,VIC,3175,260.0,2017-02-10,-38.063601,145.19662,No,,N/A,
Bupa Ballarat Extension,VIC,3356,243.2,2019-08-14,-37.590768,143.809024,No,,N/A,
BUPA Bendigo,VIC,3550,120.0,2016-03-18,-36.734757,144.281108,No,,N/A,
BUPA Cairns,QLD,4870,150.0,2016-07-21,-16.932552,145.740535,No,,N/A,
BUPA Mildura,VIC,3500,150.0,2016-03-15,-34.210906,142.136574,No,,N/A,
BUPA Pottsville,NSW,2489,175.0,2016-03-15,-28.386393,153.553842,No,,N/A,
Fairbairn Road,VIC,3106,199.0,2016-03-18,-37.767178,145.152568,No,,N/A,
Capital East Solar Farm,VIC,3844,200.0,2016-03-15,-38.179167,146.550836,No,CESF1,N/A,
BUPA Wodonga,VIC,3690,100.0,2016-03-15,-36.116256,146.866992,No,,N/A,
BUPA6Mt Sheridan,QLD,4868,145.2,2019-07-11,-16.98993,145.74018,No,,N/A,
Burnside War Memorial Kensington,SA,5065,157.1,2018-07-31,-34.927643,138.638183,No,,N/A,
Burwood Brickworks,VIC,3151,1010.6,2020-08-25,-37.84988,145.134683,No,,N/A,
BWTP Mount Pluto,QLD,4800,399.8,2018-04-30,-20.3971473,148.031158,No,,N/A,
Byron Bay STP,NSW,2481,155.2,2020-01-07,-28.649416,153.618176,No,,N/A,
